Nike                                                                                       ,                            ,             ,                                                    ,                                                                                                    ,                                 ,                   ,                , 
Factory Name                                                                               , Factory Type               , Product Type, Supplier Name                                      , Address                                                                                            , City                            , State             , Postal Code    , Country
PAIHO (VIETNAM)                                                                            , MATERIALS                  , Footwear    , PAIHO GROUP                                        , Lot 30 32 34 No3 Road Tan Tao Industrial Park                                                      , Ho Chi Minh City                , Ho Chi Minh       , 71909          , Vietnam
Tower Garments (London) Ltd                                                                , FINISHED GOODS             , Apparel     , TOWER GARMENTS                                     , Unit J 17 Queensway Enfield                                                                        , ENFIELD                         , London-- City of  , EN3 4SA        , United Kingdom
RIETVELD SERIGRAFIE BV                                                                     , FINISHED GOODS             , Apparel     , RIETVELD                                           , INDUSTRIEWEG 50  2382 NW                                                                           , Zoeterwoude Rijndijk            , Zuid-Holland      , 2382NW         , Netherlands
PRIME ASIA (CHINA)                                                                         , MATERIALS                  , Footwear    , PRIME ASIA                                         , YUE YUEN INDUSTRIAL PARK                                                                           , "Dongguan,Guangdong"            , Guangdong         , 511700         , China
ChangShin Inc.                                                                             , FINISHED GOODS             , Footwear    , CHANGSHIN                                          , "242, Jangpyeong-ro, Saha-gu, Busan, Korea"                                                        , Busan                           , Busan Gwangyeogsi , 604-030        , South Korea
"Yantai NE Apparel CO.,LTD"                                                                , FINISHED GOODS             , Apparel     , NICE APPAREL                                       , No 26 Haiyang Yantai Economic Development Zone                                                     , Yantai                          , Shandong          , 265100         , China
Beijing Our Clothing and Apparel Ltd                                                       , FINISHED GOODS             , Apparel     , BEIJING CLOTHING                                   , XiQu YiHao                                                                                         , BeiJing                         , Beijing           , 100024         , China
BAIKSAN (VIETNAM)                                                                          , MATERIALS                  , Footwear    , BAIKSAN                                            , NO 50 ROAD 3 VSIP II HOA PHU PRECINCT                                                              , Binh Duong                      , Bình Duong        , 840000         , Vietnam
Jay Jay Mills Lanka (Pvt) Ltd - Expansion Unit T01                                         , FINISHED GOODS             , Apparel     , JAY JAY MILLS                                      , Lot 1 2 3 4 5 and 23                                                                               , Trincomalee                     , Trincomalee       , 31000          , Sri Lanka
Evergreen Apparel Mfg.                                                                     , FINISHED GOODS             , Apparel     , YY & ASSOCIATES                                    , 845 NE Century Blvd                                                                                , Hillsboro                       , Oregon            , 97127          , USA
"FORMOSA TAFFETA DONG NAI CO., LTD."                                                       , MATERIALS                  , Apparel     , FORMOSA TAFFETA                                    , Nhon Trach 3 Ind Zone Hiep Phuoc Town                                                              , Nhon Trach District             , Ðng Nai           , 71000          , Vietnam
SFO Apparel Inc. (Sewing & Cutting)                                                        , FINISHED GOODS             , Apparel     , SFO APPAREL                                        , 41 Park Place                                                                                      , Brisbane                        , California        , 94005          , USA
YKK Taiwan Chung Li 2nd Factory                                                            , MATERIALS                  , Footwear    , YKK                                                , No 12 CHI LIN NORTH ROAD CHUNG LI                                                                  , Taoyuan                         , Taoyuan           , 32062          , Taiwan
"Longhui Stella Footwear Co., Ltd"                                                         , FINISHED GOODS - COMPONENTS, Footwear    , STELLA                                             , South east Industrial Park                                                                         , Shaoyang City                   , Hunan             , 422200         , China
WILL DER                                                                                   , FINISHED GOODS             , Apparel     , DER WILL                                           , Jose Ingenieros 2387                                                                               , Ricardo Rojas                   , Buenos Aires      , 1610           , Argentina
Huaian Yuantong Headwear Mfg Co Ltd                                                        , FINISHED GOODS             , Apparel     , ASIAN SOURCING HEADWEAR                            , NO 30 YAN HUANG AVENUE                                                                             , HUAI AN                         , Jiangsu           , 223400         , China
BODYLINE PVT LIMITED                                                                       , FINISHED GOODS             , Apparel     , MAS HOLDINGS                                       , RATNAPURA ROAD                                                                                     , HORANA                          , Kalutara          , 12400          , Sri Lanka
BUSINESS LOCATION IN VUNG LIEM - TY XUAN COMPANY LIMITED                                   , FINISHED GOODS             , Footwear    , LAI YIH                                            , TO 7 AP AN DIEN                                                                                    , VUNG LIEM DISTRICT              , Vinh Long         , 85715          , Vietnam
Milteks Tekstil Sanayi ve Ticaret A S                                                      , FINISHED GOODS             , Apparel     , MILTEKS                                            , Bakir ve Pirinc Sanayicileri Sitesi                                                                , Istanbul                        , Istanbul          , 34520          , Turkey
SUPER KNITTING CAMBODIA                                                                    , FINISHED GOODS             , Apparel     , SUPER KNITTING                                     , Haknuman Vilage Krang Thnong Commune Bati District                                                 , Takeo                           , Taakaev           , 210807         , Cambodia
FITA TEKSTIL KONF.LTD.STI                                                                  , FINISHED GOODS             , Apparel     , YESIM                                              , PANAYIR MAH  6 SELVILI SK                                                                          , Bursa                           , Bursa             , 16100          , Turkey
PT. CHING LUH INDONESIA                                                                    , FINISHED GOODS             , Footwear    , CHING LUH                                          , JL. Raya Serang Km.16                                                                              , Cikupa                          , Jawa Barat        , 15710          , Indonesia
"DONG SHIN VINA CO.,LTD"                                                                   , FINISHED GOODS             , Apparel     , DONGSHIN GMT                                       , Lot 6 Str 3 Giang Dien Industrial Zone Trang Bom Dong Nai                                          , Trang Bom                       , Ðng Nai           , 76317          , Vietnam
"G&G Outfitters, Inc."                                                                     , FINISHED GOODS             , Apparel     , G AND G OUTFITTERS                                 , 4901 Forbes Blvd                                                                                   , Lanham                          , Maryland          , 20706          , USA
"Xiamen Expanding Industrial Co., Ltd"                                                     , FINISHED GOODS             , Apparel     , HADDAD                                             , NO 21 Siming Park Tongan Industrial Concentration Zone                                             , Xiamen                          , Fujian            , 361000         , China
"Zhijie Footwear Technical Service (Zhongshan) CO.,Ltd"                                    , FINISHED GOODS             , Footwear    , HUALI                                              , 1 F 2 and 2 5 F of Building B and 1 F of Building D                                                , Zhongshan                       , Guangdong         , 528451         , China
"ZHANGJIAJIE EXCELLENCE SPORT PRODUCTS CO., LTD."                                          , FINISHED GOODS             , Equipment   , ALPUS                                              , Building NO1 2 3 Qilonggang Industrial Zone                                                        , Zhangjiajie                     , Hunan             , 427200         , China
VINH LONG FOOTWEAR CO LTD                                                                  , FINISHED GOODS             , Footwear    , LAI YIH                                            , HOA PHU INDUSTRIAL ZONE                                                                            , VINH LONG PROVINCE              , Vinh Long         , 890000         , Vietnam
Brandix Apparel Solutions (PVT) LTD                                                        , FINISHED GOODS             , Apparel     , BRANDIX SOLUTIONS                                  , Bandarawatte                                                                                       , Rambukkana                      , Kegalla           , 71100          , Sri Lanka
PT PAXAR INDONESIA (AVERY DENNISON GROUP)                                                  , MATERIALS                  , Footwear    , AVERY DENNISON                                     , Jalan Inti1  Blok C1 No 14                                                                         , Bekasi                          , Jawa Barat        , 17550          , Indonesia
CONG TIEN GARMENT JOINT STOCK COMPANY                                                      , FINISHED GOODS             , Apparel     , SOUTH ISLAND                                       , 27 Mac Van Thanh street                                                                            , Go Cong                         , Tin Giang         , 84             , Vietnam
"KITAI CO., LTD"                                                                           , FINISHED GOODS             , Apparel     , KITAI                                              , 32 taka                                                                                            , kashiba                         , Nara              , 639-0241       , Japan
Ramatex Printing Garment (Suzhou) Ltd                                                      , MATERIALS                  , Apparel     , RAMATEX                                            , 168 Liufeng Road                                                                                   , Suzhou                          , Jiangsu           , 215124         , China
PT.WONEEL MIDAS LEATHERS                                                                   , FINISHED GOODS             , Equipment   , PT. WONEEL MIDAS LEATHERS                          , Bangunsari Rt04 Rw03 Candirejo Semin                                                               , Gunung kidul                    , Yogyakarta        , 55854          , Indonesia
DAERIM TEXTILE CO LTD (KOREA)                                                              , MATERIALS                  , Footwear    , DAERIM TEXTILE                                     , 14 NOKSANSANDAN 382 RO 14BEON GIL                                                                  , Busan                           , Busan Gwangyeogsi , 46757          , South Korea
"Taichung Shuihing Label Weaving Co., Ltd."                                                , FINISHED GOODS - COMPONENTS, Apparel     , AVERY DENNISON                                     , 6 1 Gong 2nd Rd Dajia Taichung 43769 Taiwan ROC                                                    , Taichung                        , Taichung          , 43769          , Taiwan
PT Tong Hong Tannery                                                                       , MATERIALS                  , Footwear    , TONG HONG                                          , KAWASAN INDUSTRI MODERN CIKANDE                                                                    , Kabupaten Serang                , Banten            , 42186          , Indonesia
"Yuan Ling Knitting Industrial CO., LTD."                                                  , MATERIALS                  , Footwear    , YUAN LING                                          , 202 ChangLu Road                                                                                   , Changhua City                   , Changhua          , 50083          , Taiwan
"Fashion Garments 2 Co., Ltd - Xuan Tay"                                                   , FINISHED GOODS             , Apparel     , HIRDARAMANI                                        , "Hamlet 1, Xuan Tay Commune, Cam My District, Dong Nai Pro"                                        , Cam My District                 , Ðng Nai           , 810000         , Vietnam
"Fujian Xingxun New Materials Technology Co., Ltd."                                        , FINISHED GOODS - COMPONENTS, Footwear    , "FUJIAN XINGXUN NEW MATERIALS TECHNOLOGY CO., LTD.", WUHONG ROAD NO 17                                                                                  , QUANZHOU CITY                   , Fujian            , 362712         , China
"Vung Tau Orient Co., Ltd - unit 02"                                                       , FINISHED GOODS             , Equipment   , FENG TAY                                           , Chau Duc Industrial zone Ba Ria Vung Tau Province                                                  , Chau Duc District               , Bà Ra - Vung Tàu  , 78000          , Vietnam
NICE APPAREL COMPANY LIMITED                                                               , FINISHED GOODS             , Apparel     , NICE APPAREL                                       , 369 Moo 4 Manjakiri Road Muang Khonkaen                                                            , Khonkaen                        , Khon Kaen         , 40000          , Thailand
PT Chang Shin Indonesia                                                                    , FINISHED GOODS             , Footwear    , CHANGSHIN                                          , Jl Ir H Juanda No 008                                                                              , Karawang                        , Jawa Barat        , 41374          , Indonesia
Branch of Thuan Phuong Embroideries Garments Company Limited - Thuan Phuong Long An Factory, FINISHED GOODS             , Apparel     , THUAN PHUONG                                       , Hamlet 3 Long Cang Commune Can Duoc Dist Long An Province                                          , Can Duoc                        , Long An           , 850000         , Vietnam
"JIANGSU NINGSHENG GARMENT CO.,LTD   "                                                     , FINISHED GOODS             , Apparel     , JIANGSU NINGSHENG GARMENT                          , No87 Renmin South Road Zhutang Town                                                                , WUXI                            , Jiangsu           , 214415         , China
GILDAN TEXTILES DE SULA S DE R L RIO NANCE 6                                               , MATERIALS                  , Apparel     , GILDAN                                             , Zip San Miguel VI                                                                                  , Choloma                         , Cortés            , 21112          , Honduras
"Worldon Vietnam Co., Ltd."                                                                , FINISHED GOODS             , Apparel     , SHENZHOU                                           , Hoa Phu Commune Cu Chi District                                                                    , Ho Chi Minh                     , Ho Chi Minh       , 70000          , Vietnam
"HUIZHOU YANGMING INDUSTRIAL CO., LTD."                                                    , FINISHED GOODS             , Apparel     , PT MAP                                             , 1 Xiaozhongtang 1st Road                                                                           , HuiZhou                         , Guangdong         , 516001         , China
Jade textile Ismailia S.A.E                                                                , FINISHED GOODS             , Apparel     , YESIM                                              , 200 acres El Mostakbel Are Ismailia public Free Zone                                               , Ismailia                        , AI Isma iliyah    , 41622          , Egypt
"Thuan Phuong Embroideries Garments Co., Ltd."                                             , FINISHED GOODS             , Apparel     , THUAN PHUONG                                       , 275 Nguyen Van Luong St Dist 6 HCMC                                                                , Ho Chi Minh City                , Ho Chi Minh       , 700000         , Vietnam
FAR EASTERN                                                                                , MATERIALS                  , Apparel     , FAR EASTERN                                        , No  1 Guojian 2nd Road                                                                             , Taoyuan                         , Taoyuan           , 328            , Taiwan
Eren Perakende ve Tekstil AS (Corlu)                                                       , FINISHED GOODS             , Apparel     , EREN PERAKENDE                                     , Ulas OSB Mah                                                                                       , Ergene                          , Tekirdag          , 59930          , Turkey
PT Dayup Indo                                                                              , FINISHED GOODS             , Equipment   , DAYUP                                              , NUSANTARA BONDED ZONE KBN MADURA STREET 6 BLOCK D13A                                               , JAKARTA                         , Jakarta Raya      , 14140          , Indonesia
Marchon Italia Srl a SU                                                                    , FINISHED GOODS             , Equipment   , MARCHON                                            , V.le Alpago 151                                                                                    , Alpago                          , Belluno           , 32016          , Italy
"Hi-Tech Apparel Cambodia Co., Ltd."                                                       , FINISHED GOODS             , Apparel     , HI TECH                                            , A35 36 Poipet ONeang Special EcoZone                                                               , Poipet                          , Banteay Mean Chey , 10902          , Cambodia
NV Apparel Company Limited                                                                 , FINISHED GOODS             , Apparel     , NICE APPAREL                                       , Lot C1 Binh Hoa Industrial Zone Chau Thanh An Giang                                                , An Giang                        , An Giang          , 880000         , Vietnam
"ECLAT FABRIC CO., LTD."                                                                   , MATERIALS                  , Apparel     , ECLAT                                              , My Xuan A2 Industrial Zone                                                                         , Ba Ria-Vung Tau                 , Bà Ra - Vung Tàu  , 79000          , Vietnam
"COSMO VIETNAM CO.,LTD"                                                                    , MATERIALS                  , Footwear    , COSMOPOLITAN TEXTILE                               , Factory 02 and 03  Lot 19 Road 15B Tan Duc Industrial Park                                         , Duc Hoa Dist                    , Long An           , 82724          , Vietnam
UN-AVAILABLE CO. LTD                                                                       , FINISHED GOODS             , Apparel     , UN AVAILABLE                                       , Part of Lot I bar 3 St No 7                                                                        , Ho Chi Minh                     , Ho Chi Minh       , 71914          , Vietnam
PETTENATI CENTRO AMERICA S.A. DE C.V.                                                      , MATERIALS                  , Apparel     , PETTENATI                                          , Km 42 Carretera A Santa Ana                                                                        , Coatepeque                      , Santa Ana         , 2204           , El Salvador
VEGA BALLS MANUFACTURING                                                                   , FINISHED GOODS             , Equipment   , VEGA BALL                                          , 653 Mu4 Soi E6 Phatthana 1Road                                                                     , Mueang Samut Prakan District    , Samut Prakan      , 10280          , Thailand
MAPLE COMPANY LIMITED                                                                      , FINISHED GOODS             , Apparel     , RAMATEX                                            , No 120 Road No 14 VSIP Hai Phong Township                                                          , Hai Phong City                  , Hai Phong         , 4000           , Vietnam
"Hoosier Manufacturing, Compania Limitada"                                                 , FINISHED GOODS             , Apparel     , INDIANA KNITWEAR                                   , 18 Avenida 37-39 Zona 12                                                                           , Guatemala                       , Guatemala         , 1000           , Guatemala
TAG TIME                                                                                   , FINISHED GOODS - COMPONENTS, Apparel     , TAG TIME                                           , NO 1 CHONGDE ROAD CUNTOU VILLAGE                                                                   , Dongguan                        , Guangdong         , 523468         , China
STANWELL-EXPAN CO. LTD                                                                     , FINISHED GOODS - COMPONENTS, Footwear    , STANWELL-EXPAN                                     , No 8 Dinghu 9th St Gueishan                                                                        , Taoyuan                         , Taoyuan           , 333            , Taiwan
ShangGao Yisen Industry Co. Ltd.                                                           , FINISHED GOODS             , Footwear    , POU CHEN                                           , Youzidong Jingjiang Town ShangGao County YiChun City                                               , YiChun                          , Jiangxi           , 336400         , China
SAMBU FINE CHEMICAL CO LTD (INDONESIA)                                                     , FINISHED GOODS - COMPONENTS, Footwear    , SAMBU FINE CHEMICAL                                , Jl Kenari Raya Blok G2 12B Delta Silicon V                                                         , Kabupaten Bekasi                , Jawa Barat        , 17530          , Indonesia
"Yumei Shantou Garments Co., Ltd"                                                          , FINISHED GOODS             , Apparel     , EAGLE NICE                                         , No 48 Heng Shan Rd                                                                                 , Shantou                         , Guangdong         , 515000         , China
GOLD LONG JOHN (TR1) (TAIWAN)                                                              , FINISHED GOODS - COMPONENTS, Footwear    , GOLD LONG JOHN                                     , NO350  Fuxing Rd  Beidou Township                                                                  , Changhua                        , Changhua          , 52147 / 51341  , Taiwan
"LUCKYTEX SOC TRANG VIETNAM CO., LTD"                                                      , FINISHED GOODS             , Apparel     , TUNTEX                                             , LOT H AN NGHIEP INDUSTRIAL ZONE AN HIEP  WARD                                                      , Soc Trang                       , Sóc Trang         , 960000         , Vietnam
"Zhangjiagang New HuaYuan Accessones Co., Ltd"                                             , FINISHED GOODS             , Apparel     , HUAYUAN ACCESSORIES                                , No 1 Henan Road Tangshi Office Yangshe Town                                                        , Zhangjiagang                    , Jiangsu           , 215600         , China
Style Raiwind                                                                              , FINISHED GOODS             , Apparel     , STYLE TEXTILE                                      , 8 Km Off Manga Raiwind Road                                                                        , Kasur                           , Punjab            , 55150          , Pakistan
LONGWELL COMPANY LTD.                                                                      , FINISHED GOODS             , Footwear    , DEAN SHOES                                         , Dau Giay Industrial Park                                                                           , Huyen Thong Nhat                , Ðng Nai           , 81000          , Vietnam
TKG TAEKWNG BINH PHUOC COMPANY LIMITED                                                     , FINISHED GOODS - COMPONENTS, Footwear    , TAEKWANG                                           , Lot E1 E2 Minh Hung Korea Industrial Park                                                          , Chon Than Townlet               , Bình Phuc         , 83000          , Vietnam
Pine Tree Company for Textile Manufacturing PSC                                            , FINISHED GOODS             , Apparel     , RAMATEX                                            , AL MUWAQQAR INDUSTRIAL ESTATE                                                                      , AMMAN                           , Amman             , 110109         , Jordan
YOUNGIL (VIETNAM)                                                                          , MATERIALS                  , Footwear    , YOUNGIL LEATHER                                    , LOT A6 1 4 THANH THANH CONG IP AN HOA WARD                                                         , TRANG BANG                      , Tây Ninh          , 80900          , Vietnam
"ACE Accessories Co., Ltd."                                                                , FINISHED GOODS             , Equipment   , ACE ACCESSORIES                                    , 3F Nr 190 Gongye 9th Rd Dali Dist                                                                  , TAICHUNG                        , Taichung          , 412037         , Taiwan
SELF MAGLIERIA SRL                                                                         , FINISHED GOODS             , Apparel     , SELF MAGLIERIA                                     , VIA RISORGIMENTO 48                                                                                , Vertemate con Minoprio          , Como              , 22070          , Italy
Shao Yang County SteIIa Footwear LTD                                                       , FINISHED GOODS             , Footwear    , STELLA                                             , Inside the industrial park of Shao Yang County                                                     , Shaoyang                        , Hunan             , 422100         , China
"Zhangpu Hengxin Bags Co., Ltd"                                                            , FINISHED GOODS             , Apparel     , ZHANGPU HENGXIN                                    , NO 87 Changfa Road Changqiao Town Zhangpu                                                          , Zhangzhou                       , Fujian            , 363200         , China
"Fujian San Feng Footwear Co.,Ltd"                                                         , FINISHED GOODS             , Footwear    , FENG TAY                                           , "No. 399, ChengMen Street, ChengMen Town, CangShan Districts"                                      , Fuzhou                          , Fujian            , 350018         , China
"Brandix Apparel Solutions (Pvt) Limited – Essentials, Koggala"                            , FINISHED GOODS             , Apparel     , BRANDIX ASIA HOLDINGS                              , "No 27, Export processing zone"                                                                    , Koggala                         , Galle             , 80630          , Sri Lanka
"Song Hong Garment JSC - Nghia Hung Branch: Factory 15,16,17,18"                           , FINISHED GOODS             , Apparel     , SONG HONG                                          , Industrial Cluster in Nghia Thai Commune                                                           , Nam Dinh/ Nam Dinh              , Nam Ðnh           , 420000         , Vietnam
"COSMO TEXTILE CO.,LTD(KNITTING/WOVEN CHINA)"                                              , MATERIALS                  , Footwear    , COSMOPOLITAN TEXTILE                               , THE THIRD INDUSTRIAL ESTATE                                                                        , Dongguan                        , Guangdong         , 523159         , China
TORAY SAKAI CO. LTD.                                                                       , MATERIALS                  , Apparel     , TORAY                                              , 301 Ruixing Road                                                                                   , Nantong                         , Jiangsu           , 226009         , China
Maxturn Apparel Company Limited                                                            , FINISHED GOODS             , Apparel     , MAXTURN APPAREL                                    , Unit G1 B Que Vo Industrial Zone                                                                   , Bac Ninh                        , Bc Ninh           , 16000          , Vietnam
HAYLEYS FABRIC PLC                                                                         , MATERIALS                  , Apparel     , MAS HOLDINGS                                       , Nartupana Estate                                                                                   , Neboda                          , Kalutara          , 12030          , Sri Lanka
United Creation Optical (Cambodia) Co. Ltd.                                                , FINISHED GOODS             , Equipment   , UNITED CREATION                                    , Block K Block Q National Road No 41                                                                , Somoroung Tong                  , Kampong Spueu     , 50109          , Cambodia
ANHUI COSMO SPORTING GOODS COMPANY LIMITED                                                 , FINISHED GOODS             , Equipment   , ANHUI COSMO                                        , "Economic Development Zone, Jinzhai County"                                                        , Lu an                           , Anhui             , 237321         , China
"Dongguan Ye Ji Industrial Co., Ltd."                                                      , FINISHED GOODS             , Apparel     , CRYSTAL                                            , Room 101 No3 Building No112 Chang Huang Road                                                       , DONGGUAN CITY                   , Guangdong         , 523570         , China
TRIMCO GROUP (INDIA) PVT LTD                                                               , FINISHED GOODS - COMPONENTS, Apparel     , TRIMCO GROUP                                       , Plot No 6 and 7                                                                                    , Vasai East                      , Maharashtra       , 401208         , India
"TMVN MANUFACTURING CO.,LTD."                                                              , FINISHED GOODS             , Apparel     , TP INC                                             , Bac Giao Cu Trung Hamlet Dong Son Commune Nam Truc District                                        , Nam Dinh                        , Nam Ðnh           , 7000           , Vietnam
"NAN YANG GARMENT CO., LTD."                                                               , FINISHED GOODS             , Apparel     , NAN YANG                                           , 27 Phetkasem Rd                                                                                    , Nongkham                        , Bangkok           , 10160          , Thailand
BAIKSAN (TR1) (INDONESIA)                                                                  , MATERIALS                  , Footwear    , BAIKSAN                                            , JL  BUMI MAS I NO 7 KAWASAN INDUSTRI DAN PERGUDANGAN                                               , Tangerang Banten                , Banten            , 15710          , Indonesia
Maxpro Sports Manufacturing Inc.                                                           , FINISHED GOODS             , Equipment   , MAXPRO                                             , Phil Bright Corp Lot 1 Block 8                                                                     , Bataan                          , Bataan            , 2111           , Philippines
Hoosier Manufacturing                                                                      , FINISHED GOODS             , Apparel     , INDIANA KNITWEAR                                   , Calzada concepcion 5ta calle 5 26 Zona 6 Ofi                                                       , Villa Nueva                     , Guatemala         , 1064           , Guatemala
"United Creation Optical Technology Co., Ltd"                                              , FINISHED GOODS             , Equipment   , UNITED CREATION                                    , D2 2 Mingde Road Glasses Industrial Park Yujiang District                                          , Yingtan                         , Jiangxi           , 335200         , China
"TEXTURERIAS, S.A. DE C.V."                                                                , FINISHED GOODS             , Apparel     , TEXTURERIAS                                        , MARIANO ABASOLO 206                                                                                , Santiago Tianguistenco          , México            , 52600          , Mexico
Business Location of MDK Embroideries Garments Company Limited - Binh Chanh Factory        , FINISHED GOODS             , Apparel     , THUAN PHUONG                                       , 191 Dinh Duc Thien Street                                                                          , Binh Chanh District             , Ho Chi Minh       , 700000         , Vietnam
MILTEKS TEXTILE EGYPT                                                                      , FINISHED GOODS             , Apparel     , MILTEKS                                            , 6th of October Industrial zone 1 B42 no196                                                         , Cairo                           , AI Jizah          , 12451          , Egypt
Dong Guan New Prosperity Optical Mfy Ltd. Chang An Branch                                  , FINISHED GOODS             , Equipment   , SUN HING OPTICAL                                   , No 43 XinFeng Road XinMin District ChangAn Town                                                    , Dongguan                        , Guangdong         , 523879         , China
"Wenzhou Outlook Eyewear Co., Ltd"                                                         , FINISHED GOODS             , Equipment   , WENZHOU OUTLOOK                                    , Number 12  Shengye Rd  Lucheng District                                                            , Wenzhou                         , Zhejiang          , 325019         , China
Gold Long John (Vietnam 2nd location)                                                      , FINISHED GOODS - COMPONENTS, Footwear    , GOLD LONG JOHN                                     , Road 25B Nhon Trach 2 Industrial Zone                                                              , Nhon Trach                      , Da Nang-- thanh ph, 815956         , Vietnam
"CHUAN CHENG HAT CO., LTD."                                                                , FINISHED GOODS             , Apparel     , CHUAN CHENG                                        , No 56 Chung Shan Road                                                                              , TAICHUNG                        , Taichung          , 428            , Taiwan
Ajara Textile Ltd (Bobokvati)                                                              , FINISHED GOODS             , Apparel     , MILTEKS                                            , Bobokvati Street 14 Bobokvati Village                                                              , Kobuleti                        , Ajaria            , 6200           , Georgia
Skyrina.SA de C.V                                                                          , FINISHED GOODS             , Apparel     , SABRINA                                            , Federal Highway 129                                                                                , Tlatlauquitepec                 , Puebla            , 73907          , Mexico
LEADING STAR THANH HOA GARMENT COMPANY LIMITED                                             , FINISHED GOODS             , Apparel     , LEADING STAR                                       , Lot CN 04 South Zone A Bim Son Industrial park Bac Son Ward                                        , Bim Son                         , Bình Duong        , 44000          , Vietnam
"H&L APPAREL(VIETNAM) CO.,LTD"                                                             , FINISHED GOODS             , Apparel     , H&L                                                , Lot D 11 CN My Phuoc 2 IP My Phuoc Ward                                                            , Ben Cat District                , Bình Duong        , 590000         , Vietnam
PT Rodeo Prima Jaya                                                                        , FINISHED GOODS             , Apparel     , PRIMA                                              , Jl Raya Kaligawe Km 7 Semarang                                                                     , Semarang                        , Jawa Tengah       , 50117          , Indonesia
DAEWON (KOREA)                                                                             , MATERIALS                  , Footwear    , DAEWON                                             , 868 14 Gyeonggi daero                                                                              , Osan Si                         , Gyeonggido        , 18111          , South Korea
Hirdaramani Fashions (Pvt) Ltd - Vavuniya                                                  , FINISHED GOODS             , Apparel     , HIRDARAMANI FASHIONS (PVT) LTD VAVUNIYA            , No 400                                                                                             , Vavuniya                        , Vavuniya          , 43000          , Sri Lanka
YKK INDIA PVT. LTD.                                                                        , FINISHED GOODS - COMPONENTS, Apparel     , YKK                                                , Plot No 699 Sector 2                                                                               , Rewari                          , Haryana           , 123501         , India
FUQING TIONGLIONG XINYE SHOES MATERIAL CO LTD                                              , MATERIALS                  , Footwear    , TIONG LIONG GROUP                                  , Hongkuan Industry Village                                                                          , Fuqing City                     , Fujian            , 350323         , China
"NINGBO MITSUBANA APPERAL CO., LTD"                                                        , FINISHED GOODS             , Apparel     , NINGBO MITSUBANA                                   , NO 1338 YUFAN ROAD E ZHENHAI                                                                       , NINGBO                          , Zhejiang          , 315207         , China
Far Eastern Apparal Suzhou Ltd. Co                                                         , FINISHED GOODS             , Apparel     , FAR EASTERN                                        , 88 Tianling Road                                                                                   , Suzhou                          , Jiangsu           , 215128         , China
"Qingdao Changshin Shoes Co., Ltd."                                                        , FINISHED GOODS             , Footwear    , CHANGSHIN                                          , Matiquan Road 6                                                                                    , QingDao                         , Shandong          , 266300         , China
"MANUFACTURE OF ARTISTIC BELT & ACCESSORIES CO., LTD."                                     , FINISHED GOODS             , Equipment   , ARTISTIC BELT AND ACCESSORIES                      , "Factory 7, DE1B & DE1 St., My Phuoc 3 Industrial Park,"                                           , Ben Cat Town                    , Bình Duong        , 82575          , Vietnam
"Regina Miracle International Vietnam Co., Ltd"                                            , FINISHED GOODS             , Apparel     , REGINA MIRACLE                                     , NO 9 East West Road VSIP Hai Phong                                                                 , Hai Phong                       , Hai Phong         , 180000         , Vietnam
MAXIM IMPRESSION LANKA (PVT) LTD                                                           , MATERIALS                  , Apparel     , MAXIM                                              , 62 4 Habarakada Homagama                                                                           , Homagama                        , Colombo           , 10200          , Sri Lanka
PT Adis Dimension Footwear                                                                 , FINISHED GOODS             , Footwear    , SHOETOWN                                           , Jl. Raya Serang Km. 24                                                                             , Tangerang                       , Banten            , 15610          , Indonesia
Walt Technology Cambodia Co Ltd                                                            , FINISHED GOODS             , Equipment   , ZHEJIANG WALT                                      , NO 212 km Highway No 4                                                                             , Sihanouk ville                  , Krong Preah Sihano, 18205          , Cambodia
"Worldon Vietnam Co., Ltd. (Flyknit)"                                                      , FINISHED GOODS - COMPONENTS, Footwear    , SHENZHOU                                           , LOT D1 ROAD D4 DONG NAM IP HOA PHU COMMUNE CU CHI DISTRICT                                         , HO CHI MINH CITY                , Ho Chi Minh       , 700000         , Vietnam
